SMILES,vbur_far_vtot_boltz
P(c1c(N(C)C)cccc1N(C)C)(c1c(OCC)cccc1OCC)(c1c(N(C)C)cccc1N(C)C),32.62884
P(c1ccccc1C)(c1nn(-c2ccccc2)cc1)(c1ccccc1C),45.050457
COC1=C(C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2)C=CC(OC)=C1,88.98418
P(c1ccccc1)(c1c2ccccc2cc2ccccc12)(c1ccccc1),29.642311
P(c1cccc(OC(C)C)c1)(c1c2ccccc2cc2ccccc12)(c1cccc(OC(C)C)c1),31.5547
P(c1nn(-c2ccccc2)cc1)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1nn(-c2ccccc2)cc1),35.051
P(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1ccccc1N(C)C)(c1c(-c2ccccc2)nn(-c2ccccc2)c1),53.344986
P(c1c(OC(C)C)cccc1OC(C)C)(c1c(N(C)C)cccc1N(C)C)(c1c(OC(C)C)cccc1OC(C)C),54.931202
P(c1ccccc1)(c1ccccc1N1CCCCC1)(c1ccccc1),39.204758
P(c1c(OC(C)C)cccc1OC(C)C)(c1c(OC)cccc1OC)(c1c(OC(C)C)cccc1OC(C)C),48.46142
P(c1c(OCC)cccc1OCC)(C(C)C)(c1c(OCC)cccc1OCC),33.44461
P(c1ccncc1)(c1ccccc1N(C)C)(c1ccncc1),30.498793
P(c1ccccc1N1CCCCC1)(c1ccccc1C)(c1ccccc1N1CCCCC1),40.29549
P(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(c1nn(-c2ccccc2)cc1)(c1nn(-c2ccccc2)c(-c2ccccc2)c1),54.574795
P(c1nn(-c2ccccc2)cc1)(c1ccccc1N(C)C)(c1nn(-c2ccccc2)cc1),57.747005
P(c1c(OC)cccc1OC)(c1ccccc1N1CCCCC1)(c1c(OC)cccc1OC),53.160126
P(c1cccc(OC(C)C)c1)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1cccc(OC(C)C)c1),32.086933
P(c1ccccc1)(c1c2ccccc2cc2ccccc12)(c1ccccc1),29.642311
CN(C1=C(C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2)C(OC)=CC=C1)C,78.36814
P(c1ccccc1)(c1ccccc1N1CCCCC1)(c1ccccc1),39.204758
P(c1ccccc1)(c1ccc(-c2cc(-c3ccccc3)n(-c3ccccc3)n2)cc1)(c1ccccc1),31.629404
P(c1ccccc1N1CCCCC1)(N1CCCCC1)(c1ccccc1N1CCCCC1),56.1245
P(c1ccccc1)(c1ccc(-c2cc(-c3ccccc3)n(-c3ccccc3)n2)cc1)(c1ccccc1),31.629404
P(c1c(N(C)C)cccc1N(C)C)(c1ccccc1N1CCCCC1)(c1c(N(C)C)cccc1N(C)C),50.23787
P(c1c(OC(C)C)cccc1OC(C)C)(c1ccncc1)(c1c(OC(C)C)cccc1OC(C)C),44.081722
P(c1nn(-c2ccccc2)cc1)(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1nn(-c2ccccc2)cc1),34.600964
P(c1ccccc1C)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1ccccc1C),31.369884
P(c1cccc(OC(C)C)c1)(c1ccccc1N1CCCCC1)(c1cccc(OC(C)C)c1),45.031628
P(c1c2ccccc2cc2ccccc12)(c1nn(-c2ccccc2)cc1)(c1c2ccccc2cc2ccccc12),57.458195
P(c1ccc(N(C)C)cc1N(C)C)(c1nn(-c2ccccc2)cc1)(c1ccc(N(C)C)cc1N(C)C),34.123695
P(c1ccc(N(C)C)cc1N(C)C)(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(c1ccc(N(C)C)cc1N(C)C),45.81534
P(c1ccccc1)(c1ccccc1N1CCCCC1)(c1ccccc1),39.204758
P(c1ccccc1)(c1c(-c2ccccc2)nn(-c2ccccc2)c1-c1ccccc1)(c1ccccc1),29.803984
P(c1cccc(OC(C)C)c1)(n1nc(-c2ccccc2)cc1-c1ccccc1)(c1cccc(OC(C)C)c1),29.67278
P(c1c(OCC)cccc1OCC)(c1ccccc1N(C)C)(c1c(OCC)cccc1OCC),36.851532
P(c1ccccc1N1CCCCC1)(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1ccccc1N1CCCCC1),66.708496
P(c1ccccc1N1CCCCC1)(c1nn(-c2ccccc2)cc1)(c1ccccc1N1CCCCC1),62.79201
P(c1ccncc1)(c1ccc(-c2cc(-c3ccccc3)n(-c3ccccc3)n2)cc1)(c1ccncc1),31.94089
P(c1cccc(OC(C)C)c1)(c1c(OC(C)C)cccc1OC(C)C)(c1cccc(OC(C)C)c1),41.72948
P(c1ccc(N(C)C)cc1N(C)C)(c1ccccc1N1CCCCC1)(c1ccc(N(C)C)cc1N(C)C),56.3117
P(c1ccccc1N1CCCCC1)(c1c(OCC)cccc1OCC)(c1ccccc1N1CCCCC1),51.5642
P(c1c(OC)cccc1OC)(c1c2ccccc2cc2ccccc12)(c1c(OC)cccc1OC),41.47203
P(c1c(OC)cccc1OC)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1c(OC)cccc1OC),38.93337
P(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(c1ccccc1N(C)C)(c1nn(-c2ccccc2)c(-c2ccccc2)c1),66.78093
P(c1c(OC(C)C)cccc1OC(C)C)(c1ccccc1N(C)C)(c1c(OC(C)C)cccc1OC(C)C),52.339546
P(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(C(C)C)(c1nn(-c2ccccc2)c(-c2ccccc2)c1),40.247383
P(c1ccncc1)(c1c2ccccc2cc2ccccc12)(c1ccncc1),32.093956
P(c1c(OC)cccc1OC)(c1ccccc1N(C)C)(c1c(OC)cccc1OC),32.751953
P(c1ccncc1)(c1ccccc1N1CCCCC1)(c1ccncc1),50.75845
P(c1c(OC)cccc1OC)(c1nn(-c2ccccc2)cc1)(c1c(OC)cccc1OC),29.331926
P(c1c(N(C)C)cccc1N(C)C)(c1c(OCC)cccc1OCC)(c1c(N(C)C)cccc1N(C)C),32.62884
P(c1c(OC(C)C)cccc1OC(C)C)(N1CCCCC1)(c1c(OC(C)C)cccc1OC(C)C),63.039097
P(c1ccccc1C)(c1nn(-c2ccccc2)cc1)(c1ccccc1C),45.050457
P(c1c(N(C)C)cccc1N(C)C)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1c(N(C)C)cccc1N(C)C),33.83893
P(c1ccccc1)(c1c2ccccc2cc2ccccc12)(c1ccccc1),29.642311
P(c1cccc(OC(C)C)c1)(c1c2ccccc2cc2ccccc12)(c1cccc(OC(C)C)c1),31.5547
P(c1nn(-c2ccccc2)cc1)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1nn(-c2ccccc2)cc1),35.051
P(c1ccccc1N1CCCCC1)(C(C)C)(c1ccccc1N1CCCCC1),73.899666
P(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1ccccc1N(C)C)(c1c(-c2ccccc2)nn(-c2ccccc2)c1),53.344986
P(c1c(OC(C)C)cccc1OC(C)C)(c1c(N(C)C)cccc1N(C)C)(c1c(OC(C)C)cccc1OC(C)C),54.931202
P(c1ccccc1)(c1ccccc1N1CCCCC1)(c1ccccc1),39.204758
P(c1c(OC(C)C)cccc1OC(C)C)(c1c(OC)cccc1OC)(c1c(OC(C)C)cccc1OC(C)C),48.46142
P(c1ccccc1N1CCCCC1)(c1ccccc1C)(c1ccccc1N1CCCCC1),40.29549
P(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(c1nn(-c2ccccc2)cc1)(c1nn(-c2ccccc2)c(-c2ccccc2)c1),54.574795
P(c1ccccc1C)(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1ccccc1C),35.329926
P(c1c(OC)cccc1OC)(c1ccccc1N1CCCCC1)(c1c(OC)cccc1OC),53.160126
P(c1ccccc1C)(c1c2ccccc2cc2ccccc12)(c1ccccc1C),34.480957
P(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(N1CCCCC1)(c1nn(-c2ccccc2)c(-c2ccccc2)c1),46.604145
P(N1CCCCC1)(c1ccccc1N(C)C)(N1CCCCC1),35.280144
P(c1ccccc1)(c1c(OC(C)C)cccc1OC(C)C)(c1ccccc1),37.489468
P(c1ccccc1)(c1ccccc1N1CCCCC1)(c1ccccc1),39.204758
P(c1ccccc1)(c1ccc(-c2cc(-c3ccccc3)n(-c3ccccc3)n2)cc1)(c1ccccc1),31.629404
P(c1ccccc1N1CCCCC1)(N1CCCCC1)(c1ccccc1N1CCCCC1),56.1245
P(c1ccccc1)(c1ccc(-c2cc(-c3ccccc3)n(-c3ccccc3)n2)cc1)(c1ccccc1),31.629404
